timestamp,tollID,company,charge
2021-12-31 22:23:00,NAO30,NAO,2.50
2021-12-31 23:02:00,NO03,NO,3.25
2021-12-31 23:26:00,NAO38,NAO,2.50
2021-12-31 23:29:00,AM09,AM,3.10
2021-12-31 23:39:00,AM03,AM,2.20
2021-12-31 23:45:00,KO05,KO,1.90
2022-01-01 01:01:00,GE01,GE,14.70
2022-01-01 01:43:00,NAO04,NAO,2.50
2022-01-01 01:58:00,KO04,KO,2.95
2022-01-01 02:16:00,OO02,OO,2.30
2022-01-01 02:45:00,NO09,NO,4.20
2022-01-01 02:55:00,OO03,OO,2.40
2022-01-01 02:56:00,NAO37,NAO,2.50
2022-01-01 03:24:00,NAO29,NAO,2.50
2022-01-01 03:35:00,MO11,MO,2.05
2022-01-01 04:08:00,NAO07,NAO,2.50
2022-01-01 04:36:00,OO03,OO,2.40
2022-01-01 05:12:00,OO08,OO,1.90
2022-01-01 06:12:00,KO03,KO,2.95
2022-01-01 06:55:00,MO05,MO,2.60
2022-01-01 07:09:00,OO08,OO,1.90
2022-01-01 07:11:00,AM06,AM,3.60
2022-01-01 07:27:00,EG17,EG,2.10
2022-01-01 07:44:00,AM01,AM,2.00
2022-01-01 09:01:00,GE01,GE,14.70
2022-01-01 09:41:00,EG19,EG,1.40
2022-01-01 09:47:00,OO06,OO,3.50
2022-01-01 10:26:00,AM04,AM,2.20
2022-01-01 10:40:00,KO05,KO,1.90
2022-01-01 10:45:00,NO01,NO,3.85
2022-01-01 11:30:00,NAO32,NAO,2.50
2022-01-01 12:18:00,NAO23,NAO,2.50
2022-01-01 12:59:00,MO02,MO,1.35
2022-01-01 13:40:00,NAO36,NAO,2.50
2022-01-01 14:31:00,NAO03,NAO,2.50
2022-01-01 14:51:00,AM05,AM,3.60
2022-01-01 14:51:00,OO10,OO,2.50
2022-01-01 15:04:00,NO04,NO,3.25
2022-01-01 15:06:00,OO02,OO,2.30
2022-01-01 15:38:00,NAO40,NAO,2.50
2022-01-01 15:51:00,NO03,NO,3.25
2022-01-01 15:58:00,NAO37,NAO,2.50
2022-01-01 16:03:00,EG31,EG,1.40
2022-01-01 16:29:00,KO08,KO,1.85
2022-01-01 16:51:00,EG37,EG,1.40
2022-01-01 17:02:00,NAO19,NAO,2.50
2022-01-01 17:15:00,OO04,OO,2.40
2022-01-01 17:42:00,NAO34,NAO,2.50
2022-01-01 18:13:00,NO14,NO,4.15
2022-01-01 18:34:00,OO07,OO,1.90
2022-01-01 19:59:00,EG34,EG,2.00
2022-01-01 21:27:00,OO09,OO,2.50
2022-01-01 21:29:00,NO12,NO,3.35
2022-01-01 22:14:00,NAO35,NAO,2.50
2022-01-01 22:24:00,EG13,EG,1.20
2022-01-01 22:30:00,EG19,EG,1.40
2022-01-01 22:47:00,EG34,EG,2.00
2022-01-01 23:15:00,AM04,AM,2.20
2022-01-01 23:48:00,NAO40,NAO,2.50
2022-01-01 23:59:00,NAO29,NAO,2.50
2022-01-02 00:21:00,NO06,NO,3.25
2022-01-02 00:24:00,AM03,AM,2.20
2022-01-02 01:07:00,EG18,EG,2.10
2022-01-02 01:50:00,EG23,EG,1.40
2022-01-02 02:12:00,NAO22,NAO,2.50
2022-01-02 02:20:00,NAO23,NAO,2.50
2022-01-02 02:34:00,AM10,AM,3.10
2022-01-02 02:54:00,KO02,KO,3.40
2022-01-02 02:55:00,OO07,OO,1.90
2022-01-02 03:58:00,NAO28,NAO,2.50
2022-01-02 04:10:00,NAO11,NAO,2.50
2022-01-02 04:30:00,EG22,EG,1.60
2022-01-02 04:31:00,AM05,AM,3.60
2022-01-02 04:34:00,KO04,KO,2.95
2022-01-02 04:41:00,EG33,EG,2.00
2022-01-02 05:13:00,NAO40,NAO,2.50
2022-01-02 05:16:00,EG23,EG,1.40
2022-01-02 05:45:00,KO03,KO,2.95
2022-01-02 05:54:00,AM10,AM,3.10
2022-01-02 06:03:00,OO10,OO,2.50
2022-01-02 06:34:00,NO14,NO,4.15
2022-01-02 06:41:00,AM06,AM,3.60
2022-01-02 06:41:00,EG31,EG,1.40
2022-01-02 06:43:00,EG38,EG,1.40
2022-01-02 07:04:00,OO04,OO,2.40
2022-01-02 08:34:00,NAO14,NAO,2.50
2022-01-02 08:53:00,NAO32,NAO,2.50
2022-01-02 08:54:00,NAO05,NAO,2.50
