tollID,company,name,latitude,longitude
AM01,AM,??????? ??????? ???????? ???????? (???? ?????),40.51974,22.57247
AM02,AM,??????? ??????? ???????? ???????? (???? ???????????),40.51943,22.57290
AM03,AM,??????? ??????? ??????????? ???????? (???? ?????),39.80461,22.50252
AM04,AM,??????? ??????? ??????????? ???????? (???? ???????????),39.80427,22.50270
AM05,AM,??????? ??????? ??????????? ???????? (???? ?????),39.52294,22.55670
AM06,AM,??????? ??????? ??????????? ???????? (???? ???????????),39.52292,22.55705
AM07,AM,??????? ??????? ??????????? ???????? (???? ?????),40.03581,22.56973
AM08,AM,??????? ??????? ??????????? ???????? (???? ???????????),40.03565,22.56999
AM09,AM,??????? ??????? ????????? ???????? (???? ?????),38.92051,22.84637
AM10,AM,??????? ??????? ????????? ???????? (???? ???????????),38.92015,22.84633
AM11,AM,??????? ??????? ???????? ???????? (??? ?????),39.74348,22.47595
AM12,AM,??????? ??????? ???????? ???????? (???? ?????),39.74499,22.47529
AM13,AM,??????? ??????? ???????????? ???????? (??? ???????????),39.82932,22.51144
AM14,AM,??????? ??????? ???????????? ???????? (???? ???????????),39.82932,22.51359
AM15,AM,??????? ??????? ??????? ???????? (??? ?????),39.49450,22.62619
AM16,AM,??????? ??????? ??????? ???????? (???? ?????),39.49332,22.61891
AM17,AM,??????? ??????? ??????????? ???????? (??? ?????),39.79680,22.49904
AM18,AM,??????? ??????? ??????? ??????????? ???????? (??? ?????),39.44227,22.68931
AM19,AM,??????? ??????? ??????? ??????????? ???????? (???? ?????),39.44117,22.68652
AM20,AM,??????? ??????? ???????? ???????? (???? ?????),39.90926,22.62438
AM21,AM,??????? ??????? ???????? ???????? (???? ???????????),39.90894,22.62438
AM22,AM,??????? ??????? ?????????? ???????? (??? ?????),39.38855,22.76817
AM23,AM,??????? ??????? ?????????? ???????? (???? ?????),39.38900,22.76446
AM24,AM,??????? ??????? ?????????? ???????? (???? ?????),39.39075,22.76492
AM25,AM,??????? ??????? ??????????? ???????? (??? ???????????),40.04498,22.56406
AM26,AM,??????? ??????? ??????????? ???????? (???? ???????????),40.04503,22.56537
AM27,AM,??????? ??????? ????????? ???????? (??? ?????),39.98173,22.62521
AM28,AM,??????? ??????? ????????? ???????? (???? ?????),39.98173,22.62488
AM29,AM,??????? ??????? ?????? ???????? (??? ???????????),38.94941,22.87566
AM30,AM,??????? ??????? ?????? ???????? (???? ???????????),38.94799,22.87658
EG01,EG,??????? ??????? ???????? ?????? ???????? (???? ???????),38.94008,20.76598
EG02,EG,??????? ??????? ???????? ?????? ???????? (???? ???????),38.94000,20.76634
EG03,EG,??????? ??????? ???????? ???????? (???? ???????????),40.94466,26.20525
EG04,EG,??????? ??????? ???????? ???????? (???? ??????),40.94448,26.20509
EG05,EG,??????? ??????? ?????? ???????? (???? ????/????),41.01349,25.53327
EG06,EG,??????? ??????? ?????? ???????? (???? ???????????),41.01347,25.53349
EG07,EG,??????? ??????? ???????? ???????? (???? ????/????),40.70685,23.19131
EG08,EG,??????? ??????? ???????? ???????? (???? ???????????),40.70687,23.19166
EG09,EG,??????? ??????? ??????????? ???????? (???? ??????????????),40.72626,23.69369
EG10,EG,??????? ??????? ??????????? ???????? (???? ???????????),40.72651,23.69370
EG11,EG,??????? ??????? ???????????? ???????? (???? ??????????????),40.69605,22.89561
EG12,EG,??????? ??????? ???????????? ???????? (???? ???????????),40.69621,22.89602
EG13,EG,??????? ??????? ???????? ???????? (???? ?????),40.60257,22.69825
EG14,EG,??????? ??????? ???????? ???????? (???? ???????????),40.60222,22.69828
EG15,EG,??????? ??????? ?????????? ???????? (???? ????/????),39.61861,20.94787
EG16,EG,??????? ??????? ?????????? ???????? (???? ???????????),39.61887,20.94798
EG17,EG,??????? ??????? ?????? ???????? (???? ????/????),39.54018,20.67424
EG18,EG,??????? ??????? ?????? ???????? (???? ???????????),39.54018,20.67446
EG19,EG,??????? ??????? ??????? ???????? (???? ????/????),40.95970,24.47231
EG20,EG,??????? ??????? ??????? ???????? (???? ???????????),40.95996,24.47252
EG21,EG,??????? ??????? ????????? ???????? (???? ????/????),40.85810,24.16227
EG22,EG,??????? ??????? ????????? ???????? (???? ???????????),40.85828,24.16236
EG23,EG,??????? ??????? ????????? ???????? (???? ?????????????),40.57450,21.06155
EG24,EG,??????? ??????? ????????? ???????? (???? ????????),40.57463,21.06136
EG25,EG,??????? ??????? ??????? ???????? (???? ???????),41.10873,22.55840
EG26,EG,??????? ??????? ??????? ???????? (???? ??????),41.10865,22.55872
EG27,EG,??????? ??????? ????????? ???????? (???? ????/????),40.36719,22.06011
EG28,EG,??????? ??????? ????????? ???????? (???? ???????????),40.36724,22.06038
EG29,EG,??????? ??????? ????????? ???????? (???? ????/????),40.25640,21.63294
EG30,EG,??????? ??????? ????????? ???????? (???? ???????????),40.25663,21.63296
EG31,EG,??????? ??????? ?????? ???????? (???? ????/????),41.12035,25.08013
EG32,EG,??????? ??????? ?????? ???????? (???? ???????????),41.12048,25.08019
EG33,EG,??????? ??????? ????????? ???????? (???? ?????????),41.36410,23.35685
EG34,EG,??????? ??????? ????????? ???????? (???? ??????),41.36428,23.35673
EG35,EG,??????? ??????? ??????????? ???????? (???? ???????????),41.04377,23.29506
EG36,EG,??????? ??????? ??????????? ???????? (???? ??????),41.04362,23.29504
EG37,EG,??????? ??????? ?????????? ???????? (???? ????/????),39.78944,21.26681
EG38,EG,??????? ??????? ?????????? ???????? (???? ???????????),39.78979,21.26626
EG39,EG,??????? ??????? ?????? ???????? (??? ????/????),40.96176,25.64339
EG40,EG,??????? ??????? ?????? ???????? (???? ????/????),40.96122,25.64278
EG41,EG,??????? ??????? ?????????? ???????? (??? ????/????),40.70133,23.37106
EG42,EG,??????? ??????? ?????????? ???????? (???? ????/????),40.70003,23.37042
EG43,EG,??????? ??????? ??????? ???????? (??????? ???? ???????????),40.74036,23.01134
EG44,EG,??????? ??????? ??????? ???????? (??????? ???? ???????????),40.74041,23.00921
EG45,EG,??????? ??????? ??????? ???????? (?????? ??? ???????????),40.73708,23.00886
EG46,EG,??????? ??????? ??????????? ???????? (??? ???????????),40.70963,23.68233
EG47,EG,??????? ??????? ??????????? ???????? (???? ???????????),40.70969,23.68007
EG48,EG,??????? ??????? ??????? ???????? (??? ????/????),40.68507,23.25728
EG49,EG,??????? ??????? ??????? ???????? (???? ????/????),40.68298,23.26014
EG50,EG,??????? ??????? ????? ?????? ???????? (??? ????/????),40.87301,24.29632
EG51,EG,??????? ??????? ????? ?????? ???????? (???? ????/????),40.87425,24.29886
EG52,EG,??????? ??????? ?????? ??????? ???????? (??? ???????????),40.95475,24.46490
EG53,EG,??????? ??????? ?????? ??????? ???????? (???? ???????????),40.95614,24.46335
EG54,EG,??????? ??????? ?????????????? ???????? (??? ????/????),40.88656,24.23466
EG55,EG,??????? ??????? ?????????????? ???????? (???? ????/????),40.88405,24.23595
EG56,EG,??????? ??????? ????????? ???????? (??? ???????????),40.83828,24.11487
EG57,EG,??????? ??????? ????????? ???????? (???? ???????????),40.84142,24.11660
EG58,EG,??????? ??????? ??????? ???????? ???????? (??? ???????????),40.78273,23.95742
EG59,EG,??????? ??????? ??????? ???????? ???????? (???? ???????????),40.78738,23.95591
EG60,EG,??????? ??????? ??????????? ???????? (??? ??????????),40.98913,22.60377
EG61,EG,??????? ??????? ??????????? ???????? (???? ??????????),40.98902,22.60492
EG62,EG,??????? ??????? ???????? ???????? (??? ????/????),40.29780,21.68065
EG63,EG,??????? ??????? ???????? ???????? (???? ????/????),40.30186,21.69036
EG64,EG,??????? ??????? ????????? ????????? ???????? (??? ???????????),40.23622,21.57988
EG65,EG,??????? ??????? ????????? ????????? ???????? (???? ???????????),40.23697,21.57984
EG66,EG,??????? ??????? ???????? ???????? (??? ??????????? ???? ?????),41.09622,24.94660
EG67,EG,??????? ??????? ???????? ???????? (??? ??????????? ???? ????? ?????),41.09518,24.94467
EG68,EG,??????? ??????? ???????? ???????? (??? ????? ???? ???????????),41.09463,24.93714
EG69,EG,??????? ??????? ???????? ???????? (??? ????? ????? ???? ???????????),41.09820,24.94494
EG70,EG,??????? ??????? ?????? ???????? (??? ????/????),41.11714,25.18443
EG71,EG,??????? ??????? ?????? ???????? (???? ????/????),41.11562,25.18446
EG72,EG,??????? ??????? ??.??. ????????? ???????? (??? ???????????),41.05960,25.47539
EG73,EG,??????? ??????? ??.??. ????????? ???????? (???? ???????????),41.06149,25.47661
EG74,EG,??????? ??????? ???????? ????????,39.78578,21.29482
GE01,GE,??????? ??????? ??????? ???? ????????? ???????? (???? ????????),38.33383,21.76604
GE02,GE,??????? ??????? ??????? ???? ????????? ???????? (???? ???),38.33381,21.76581
KO01,KO,??????? ??????? ??????? ???????? (???? ?????),39.25717,22.08299
KO02,KO,??????? ??????? ??????? ???????? (???? ???????),39.25691,22.08320
KO03,KO,??????? ??????? ???????? ???????? (???? ?????),39.52040,21.83212
KO04,KO,??????? ??????? ???????? ???????? (???? ???????),39.52022,21.83249
KO05,KO,??????? ??????? ????? ??????? ???????? (???? ?????),38.80835,22.60256
