OpID,Operator,TollID,Name,PM,Locality,Road,Lat,Long,Email,Price1,Price2,Price3,Price4
AM,Meridian Motorways,AM01,Σταθμός Διοδίων Κλειδίου Μετωπικά (Προς Αθήνα),ΜΤ,Ημαθίας-Κλειδί,Α/Δ Αθηνών-Θεσσαλονίκης,40.51974,22.57247,operator-am@toll-analysis.example,1.40,2.00,5.90,8.30
AM,Meridian Motorways,AM02,Σταθμός Διοδίων Κλειδίου Μετωπικά (Προς Θεσσαλονίκη),ΜΤ,Ημαθίας-Κλειδί,Α/Δ Αθηνών-Θεσσαλονίκης,40.51943,22.57290,operator-am@toll-analysis.example,1.40,2.00,5.90,8.30
AM,Meridian Motorways,AM03,Σταθμός Διοδίων Μακρυχωρίου Μετωπικά (Προς Αθήνα),ΜΤ,Λάρισας-Μακρυχώρι,Α/Δ Αθηνών-Θεσσαλονίκης,39.80461,22.50252,operator-am@toll-analysis.example,1.60,2.20,6.80,9.60
AM,Meridian Motorways,AM04,Σταθμός Διοδίων Μακρυχωρίου Μετωπικά (Προς Θεσσαλονίκη),ΜΤ,Λάρισας-Μακρυχώρι,Α/Δ Αθηνών-Θεσσαλονίκης,39.80427,22.50270,operator-am@toll-analysis.example,1.60,2.20,6.80,9.60
AM,Meridian Motorways,AM05,Σταθμός Διοδίων Μοσχοχωρίου Μετωπικά (Προς Αθήνα),ΜΤ,Λάρισας-Μοσχοχώρι,Α/Δ Αθηνών-Θεσσαλονίκης,39.52294,22.55670,operator-am@toll-analysis.example,2.50,3.60,10.80,15.10
AM,Meridian Motorways,AM06,Σταθμός Διοδίων Μοσχοχωρίου Μετωπικά (Προς Θεσσαλονίκη),ΜΤ,Λάρισας-Μοσχοχώρι,Α/Δ Αθηνών-Θεσσαλονίκης,39.52292,22.55705,operator-am@toll-analysis.example,2.50,3.60,10.80,15.10
AM,Meridian Motorways,AM07,Σταθμός Διοδίων Λεπτοκαρυάς Μετωπικά (Προς Αθήνα),ΜΤ,Πιερίας-Λεπτοκαρυά,Α/Δ Αθηνών-Θεσσαλονίκης,40.03581,22.56973,operator-am@toll-analysis.example,2.00,2.80,8.60,12.00
AM,Meridian Motorways,AM08,Σταθμός Διοδίων Λεπτοκαρυάς Μετωπικά (Προς Θεσσαλονίκη),ΜΤ,Πιερίας-Λεπτοκαρυά,Α/Δ Αθηνών-Θεσσαλονίκης,40.03565,22.56999,operator-am@toll-analysis.example,2.00,2.80,8.60,12.00
AM,Meridian Motorways,AM09,Σταθμός Διοδίων Πελασγίας Μετωπικά (Προς Αθήνα),ΜΤ,Φθιώτιδος-Πελασγία,Α/Δ Αθηνών-Θεσσαλονίκης,38.92051,22.84637,operator-am@toll-analysis.example,2.20,3.10,9.40,13.10
AM,Meridian Motorways,AM10,Σταθμός Διοδίων Πελασγίας Μετωπικά (Προς Θεσσαλονίκη),ΜΤ,Φθιώτιδος-Πελασγία,Α/Δ Αθηνών-Θεσσαλονίκης,38.92015,22.84633,operator-am@toll-analysis.example,2.20,3.10,9.40,13.10
AM,Meridian Motorways,AM11,Σταθμός Διοδίων Γυρτώνης Πλευρικά (Από Αθήνα),ΠΛ,Λάρισας-Γυρτώνη,Α/Δ Αθηνών-Θεσσαλονίκης,39.74348,22.47595,operator-am@toll-analysis.example,0.40,0.60,1.90,2.70
AM,Meridian Motorways,AM12,Σταθμός Διοδίων Γυρτώνης Πλευρικά (Προς Αθήνα),ΠΛ,Λάρισας-Γυρτώνη,Α/Δ Αθηνών-Θεσσαλονίκης,39.74499,22.47529,operator-am@toll-analysis.example,0.40,0.60,1.90,2.70
AM,Meridian Motorways,AM13,Σταθμός Διοδίων Ευαγγελισμού Πλευρικά (Από Θεσσαλονίκη),ΠΛ,Λάρισας-Ευαγγελισμός,Α/Δ Αθηνών-Θεσσαλονίκης,39.82932,22.51144,operator-am@toll-analysis.example,0.70,1.10,3.20,4.50
AM,Meridian Motorways,AM14,Σταθμός Διοδίων Ευαγγελισμού Πλευρικά (Προς Θεσσαλονίκη),ΠΛ,Λάρισας-Ευαγγελισμός,Α/Δ Αθηνών-Θεσσαλονίκης,39.82932,22.51359,operator-am@toll-analysis.example,0.70,1.10,3.20,4.50
AM,Meridian Motorways,AM15,Σταθμός Διοδίων Κιλελέρ Πλευρικά (Από Αθήνα),ΠΛ,Λάρισας-Κιλελέρ,Α/Δ Αθηνών-Θεσσαλονίκης,39.49450,22.62619,operator-am@toll-analysis.example,1.50,2.10,6.40,9.00
AM,Meridian Motorways,AM16,Σταθμός Διοδίων Κιλελέρ Πλευρικά (Προς Αθήνα),ΠΛ,Λάρισας-Κιλελέρ,Α/Δ Αθηνών-Θεσσαλονίκης,39.49332,22.61891,operator-am@toll-analysis.example,1.50,2.10,6.40,9.00
AM,Meridian Motorways,AM17,Σταθμός Διοδίων Μακρυχωρίου Πλευρικά (Από Αθήνα),ΠΛ,Λάρισας-Μακρυχώρι,Α/Δ Αθηνών-Θεσσαλονίκης,39.79680,22.49904,operator-am@toll-analysis.example,0.70,1.00,3.00,4.20
